1단계,2단계,3단계,X격자,Y격자, 
서울특별시,,,60,127,
서울특별시,종로구,,60,127,
서울특별시,종로구,청운효자동,60,127,
서울특별시,종로구,사직동,60,127,
서울특별시,종로구,삼청동,60,127,
서울특별시,종로구,부암동,60,127,
서울특별시,종로구,평창동,60,127,
서울특별시,종로구,무악동,60,127,
서울특별시,종로구,교남동,60,127,
서울특별시,종로구,가회동,60,127,
서울특별시,종로구,종로1.2.3.4가동,60,127,
서울특별시,종로구,종로5.6가동,60,127,
서울특별시,종로구,이화동,60,127,
서울특별시,종로구,혜화동,60,127,
서울특별시,종로구,창신제1동,61,127,
서울특별시,종로구,창신제2동,60,127,
서울특별시,종로구,창신제3동,60,127,
서울특별시,종로구,숭인제1동,60,127,
서울특별시,종로구,숭인제2동,61,127,
서울특별시,중구,,60,127,
서울특별시,중구,소공동,60,127,
서울특별시,중구,회현동,60,126,
서울특별시,중구,명동,60,127,
서울특별시,중구,필동,60,127,
서울특별시,중구,장충동,60,127,
서울특별시,중구,광희동,60,127,
서울특별시,중구,을지로동,60,127,
서울특별시,중구,신당동,60,127,
서울특별시,중구,다산동,60,126,
서울특별시,중구,약수동,60,126,
서울특별시,중구,청구동,60,126,
서울특별시,중구,신당제5동,61,127,
서울특별시,중구,동화동,61,127,
서울특별시,중구,황학동,61,127,
서울특별시,중구,중림동,60,126,
서울특별시,용산구,,60,126,
서울특별시,용산구,후암동,60,126,
서울특별시,용산구,용산2가동,60,126,
서울특별시,용산구,남영동,60,126,
서울특별시,용산구,청파동,60,126,
서울특별시,용산구,원효로제1동,60,126,
서울특별시,용산구,원효로제2동,59,126,
서울특별시,용산구,효창동,60,126,
서울특별시,용산구,용문동,60,126,
서울특별시,용산구,한강로동,60,126,
서울특별시,용산구,이촌제1동,60,126,
서울특별시,용산구,이촌제2동,59,126,
서울특별시,용산구,이태원제1동,60,126,
서울특별시,용산구,이태원제2동,60,126,
서울특별시,용산구,한남동,60,126,
서울특별시,용산구,서빙고동,60,126,
서울특별시,용산구,보광동,60,126,
서울특별시,성동구,,61,127,
서울특별시,성동구,왕십리제2동,61,127,
서울특별시,성동구,왕십리도선동,61,127,
서울특별시,성동구,마장동,61,127,
서울특별시,성동구,사근동,61,127,
서울특별시,성동구,행당제1동,61,126,
서울특별시,성동구,행당제2동,61,126,
서울특별시,성동구,응봉동,61,126,
서울특별시,성동구,금호1가동,61,126,
서울특별시,성동구,금호2.3가동,61,126,
서울특별시,성동구,금호4가동,61,126,
서울특별시,성동구,옥수동,60,126,
서울특별시,성동구,성수1가제1동,61,126,
서울특별시,성동구,성수1가제2동,61,126,
서울특별시,성동구,성수2가제1동,61,126,
서울특별시,성동구,성수2가제3동,61,126,
서울특별시,성동구,송정동,61,126,
서울특별시,성동구,용답동,61,127,
서울특별시,광진구,,62,126,
서울특별시,광진구,화양동,61,126,
서울특별시,광진구,군자동,62,126,
서울특별시,광진구,중곡제1동,62,127,
서울특별시,광진구,중곡제2동,62,127,
서울특별시,광진구,중곡제3동,62,127,
서울특별시,광진구,중곡제4동,62,127,
서울특별시,광진구,능동,62,126,
서울특별시,광진구,광장동,62,126,
서울특별시,광진구,자양제1동,62,126,
서울특별시,광진구,자양제2동,62,126,
서울특별시,광진구,자양제3동,61,126,
서울특별시,광진구,자양제4동,61,126,
서울특별시,광진구,구의제1동,62,126,
서울특별시,광진구,구의제2동,62,126,
서울특별시,광진구,구의제3동,62,126,
서울특별시,동대문구,,61,127,
서울특별시,동대문구,용신동,61,127,
서울특별시,동대문구,제기동,61,127,
서울특별시,동대문구,전농제1동,61,127,
서울특별시,동대문구,전농제2동,61,127,
서울특별시,동대문구,답십리제1동,61,127,
서울특별시,동대문구,답십리제2동,61,127,
서울특별시,동대문구,장안제1동,61,127,
서울특별시,동대문구,장안제2동,61,127,
서울특별시,동대문구,청량리동,61,127,
서울특별시,동대문구,회기동,61,127,
서울특별시,동대문구,휘경제1동,61,127,
서울특별시,동대문구,휘경제2동,61,127,
서울특별시,동대문구,이문제1동,61,127,
서울특별시,동대문구,이문제2동,61,127,
서울특별시,중랑구,,62,128,
서울특별시,중랑구,면목제2동,62,127,
서울특별시,중랑구,면목제4동,62,127,
서울특별시,중랑구,면목제5동,62,127,
서울특별시,중랑구,면목본동,62,127,
서울특별시,중랑구,면목제7동,62,127,
서울특별시,중랑구,면목제3.8동,62,127,
서울특별시,중랑구,상봉제1동,62,127,
서울특별시,중랑구,상봉제2동,62,127,
서울특별시,중랑구,중화제1동,62,127,
서울특별시,중랑구,중화제2동,62,127,
서울특별시,중랑구,묵제1동,62,128,
서울특별시,중랑구,묵제2동,62,128,
서울특별시,중랑구,망우본동,62,127,
서울특별시,중랑구,망우제3동,62,127,
서울특별시,중랑구,신내1동,62,128,
서울특별시,중랑구,신내2동,62,128,
서울특별시,성북구,,61,127,
서울특별시,성북구,성북동,60,127,
서울특별시,성북구,삼선동,60,127,
서울특별시,성북구,동선동,61,127,
서울특별시,성북구,돈암제1동,61,127,
서울특별시,성북구,돈암제2동,60,127,
서울특별시,성북구,안암동,61,127,
서울특별시,성북구,보문동,61,127,
서울특별시,성북구,정릉제1동,60,127,
서울특별시,성북구,정릉제2동,60,127,
서울특별시,성북구,정릉제3동,60,128,
서울특별시,성북구,정릉제4동,60,128,
서울특별시,성북구,길음제1동,61,127,
서울특별시,성북구,길음제2동,61,128,
서울특별시,성북구,종암동,61,127,
서울특별시,성북구,월곡제1동,61,128,
서울특별시,성북구,월곡제2동,61,127,
서울특별시,성북구,장위제1동,61,128,
서울특별시,성북구,장위제2동,61,128,
서울특별시,성북구,장위제3동,61,128,
서울특별시,성북구,석관동,61,128,
서울특별시,강북구,,61,128,
서울특별시,강북구,삼양동,61,128,
서울특별시,강북구,미아동,61,128,
서울특별시,강북구,송중동,61,128,
서울특별시,강북구,송천동,61,128,
서울특별시,강북구,삼각산동,61,128,
서울특별시,강북구,번1동,61,128,
서울특별시,강북구,번2동,61,128,
서울특별시,강북구,번3동,61,128,
서울특별시,강북구,수유1동,60,128,
서울특별시,강북구,수유2동,61,128,
서울특별시,강북구,수유3동,61,128,
서울특별시,강북구,우이동,60,128,
서울특별시,강북구,인수동,60,128,
서울특별시,도봉구,,61,129,
서울특별시,도봉구,창제1동,61,128,
서울특별시,도봉구,창제2동,61,128,
서울특별시,도봉구,창제3동,61,128,
서울특별시,도봉구,창제4동,61,129,
서울특별시,도봉구,창제5동,61,129,
서울특별시,도봉구,도봉제1동,61,129,
서울특별시,도봉구,도봉제2동,61,129,
서울특별시,도봉구,쌍문제1동,61,128,
